GRAO,,,,,,,,,,,,,Bioloxía,,,,,Física,,,,,,Matemáticas II,,,Matemáticas aplicadas ás ciencias sociais II,,,,,Química,,,,,,,Ciencias xerais,,,,,Empresa e deseño de modelos de negocio,,,,,Coro e técnica vocal II
Enfermaría,,,,,,,,,,,,,0.2,,,,,0.1,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Farmacia,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Fisioterapia,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Logopedia,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0.2
Medicina,,,,,,,,,,,,,0.2,,,,,0.1,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Nutrición Humana e Dietética,,,,,,,,,,,,,0.2,,,,,0.1,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Odontoloxía,,,,,,,,,,,,,0.2,,,,,0.1,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Óptica e Optometría,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Podoloxía,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Psicoloxía,,,,,,,,,,,,,0.2,,,,,0.1,,,,,,0.2,,,0.2,,,,,0.1,,,,,,,0.2,,,,,0.2,,,,,0
Terapia Ocupacional,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0,,,,,0.2,,,,,,,0,,,,,0,,,,,0
Veterinaria,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,0,,,,,0,,,,,0
