GRAO,Bioloxía,Debuxo técnico II,Física,Matemáticas II,Matemáticas aplicadas ás ciencias sociais II,Química,Xeoloxía e ciencias ambientais,Ciencias xerais,Tecnoloxía e enxeñaría II
Bioloxía,0.2,0,0.2,0.2,0.1,0.2,0.2,0.1,0
Biotecnoloxía,0.2,0,0.2,0.2,0,0.2,0,0,0.1
Bioquímica,0.2,0,0.2,0.2,0.1,0.2,0,0,0
Ciencias Ambientais,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1
Ciencias do Mar,0.2,0,0.2,0.2,0,0.2,0.2,0.2,0
Ciencia e Tecnoloxía dos Alimentos,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1
Física,0.2,0,0.2,0.2,0,0.2,0.1,0,0
Matemáticas,"0,2*",0.2,0.2,0.2,0.2,0.2,0,0,0.2
Nanociencia e Nanotecnoloxía,0.2,0,0.2,0.2,0.1,0.2,0.1,0,0
Química,0.2,0,0.2,0.2,0.1,0.2,0.1,0,0
