DOBRES GRAOS E ABERTOS,,,,,,,,,,Artes escénicas II,,Bioloxía,Debuxo técnico II,Deseño,Empresa e deseño de modelos de negocio,,Física,,Fundamentos artísticos,Grego II,,Historia da arte,,Latín II,,Matemáticas II,,Matemáticas aplicadas ás ciencias sociais II,Química,Xeografía,Xeoloxía e ciencias ambientais,,2ª Lingua estranxeira II,Ciencias xerais,,Tecnoloxía e enxeñaría II,,Debuxo artístico II,,,Debuxo técnico aplicado ás artes plásticas e ao deseño II,,Técnicas de expresión gráfico-plástica,Coro e técnica vocal II,,Análise musical II,,Historia da música e da danza,Literatura dramática,,Movementos culturais e artísticos
Simultaneidade do Grao en Administración e Dirección de Empresas e o Grao en Dereito,,,,,,,,,,0,,0.2,0,0,0.2,,0.2,,0.1,0.1,,0.1,,0.2,,0.2,,0.2,0.2,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade de estudos no grao de Turismo e Xeografía e Historia,,,,,,,,,,0.1,,0,0,0.1,0.2,,0,,0.2,0.2,,0.2,,0.2,,0.2,,0.2,0,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0.1,,0.2,0.1,,0.2
Simultaneidade en Grao en Administración e Dirección de Empresas e Enx. Informática,,,,,,,,,,0,,0.2,0.2,0.1,0.2,,0.2,,0.1,0.1,,0.1,,0.1,,0.2,,0.2,0.2,0.2,0,,0.2,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
"PCEO Enxeñaría Biomédica e Enxeñaría en Electrónica, Industrial e Automática",,,,,,,,,,0,,0.2,0.2,0,0.1,,0.2,,0,0,,0,,0,,0.2,,0,0.2,0,0,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
PCEO Enxeñaría Biomédica e Enxeñería Mecánica,,,,,,,,,,0,,0.2,0.2,0,0.1,,0.2,,0,0,,0,,0,,0.2,,0,0.2,0,0,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
"PCEO Enxeñaría Mecánica e Enxeñaría en Electrónica, Industrial e Automática",,,,,,,,,,0,,0,0.2,0,0.1,,0.2,,0,0,,0,,0,,0.2,,0,0.2,0,0,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade dos Graos de Comunic. Audiovisual e Xornalismo,,,,,,,,,,0.2,,0,0.1,0.2,0.2,,0,,0.2,0.2,,0.2,,0.2,,0.2,,0.2,0,0.2,0,,0.2,0.2,,0,,0.2,,,0.2,,0.2,0.2,,0.2,,0.2,0,,0.2
Simultaneidade dos Graos de Dereito e Relacións Laborais,,,,,,,,,,0,,0,0,0,0.2,,0,,0.1,0.1,,0.1,,0.2,,0.2,,0.2,0,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade dos Graos de Enx. Informática e Matemáticas,,,,,,,,,,0,,0.2,0.2,0.1,0.1,,0.2,,0,0,,0,,0,,0.2,,0.2,0.2,0,0,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade dos Graos de Matemáticas e Física,,,,,,,,,,0,,0.2,0.2,0,0,,0.2,,0,0,,0,,0,,0.2,,0.2,0.2,0,0.1,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade dos Graos de Química e Bioloxía,,,,,,,,,,0,,0.2,0,0,0,,0.2,,0,0,,0,,0,,0.2,,0.1,0.2,0,0.2,,0,0.1,,0,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade dos Graos de Química e Física,,,,,,,,,,0,,0.2,0,0,0,,0.2,,0,0,,0,,0,,0.2,,0.1,0.2,0,0.1,,0,0,,0,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade de estudos no Grao de Farmacia e Óptica e Optometría,,,,,,,,,,0,,0.2,0,0,0,,0.2,,0,0,,0,,0,,0.2,,0.2,0.2,0,0,,0,0,,0,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade de Mestre en Educación Infantil e Mestre en Educación Primaria,,,,,,,,,,0.1,,0.2,0.1,0.1,0,,0.2,,0.2,0.1,,0.2,,0.1,,0.2,,0.2,0.2,0.2,0.2,,0.2,0.2,,0.2,,0.2,,,0.2,,0.2,0.2,,0.2,,0.2,0.2,,0.2
Simult. dos Graos de Enx. Agrícola e Agroaliment. e Enx. Forestal,,,,,,,,,,0,,0.2,0.2,0.1,0.2,,0.2,,0,0,,0,,0,,0.2,,0.1,0.2,0.1,0.2,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
Grao aberto USC Enxeñarías pola USC,,,,,,,,,,0,,0.2,0.2,0.1,0.2,,0.2,,0,0,,0,,0,,0.2,,0,0.2,0,0.2,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0.2
Simultaneidade dos Graos de Ciencias Empresariais e Turismo,,,,,,,,,,0,,0.2,0,0,0.2,,0.2,,0.2,0.1,,0.2,,0.1,,0.2,,0.2,0.2,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0,,0.1
Simultaneidade dos Graos de Español e Galego e Portugués,,,,,,,,,,0.2,,0,0,0,0,,0,,0.2,0.2,,0.2,,0.2,,0,,0.2,0,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0.2,,0.1
Simultaneidade dos Graos de Inglés e Español,,,,,,,,,,0.2,,0,0,0,0,,0,,0.2,0.2,,0.2,,0.2,,0,,0.2,0,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0.2,,0.1
Simultaneidade dos Graos de Inglés e Galego e Portugués,,,,,,,,,,0.2,,0,0,0,0,,0,,0.2,0.2,,0.2,,0.2,,0,,0.2,0,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0.1,,0.1
Grao Aberto en Ciencias Sociais e Xurídicas,,,,,,,,,,0,,0,0,0,0.2,,0,,0.2,0.1,,0.2,,0.2,,0.2,,0.2,0,0.2,0,,0.2,0,,0,,0,,,0,,0,0,,0,,0,0,,0
Simultaneidade dos Graos de Enx. Mecánica e Enx. Naval e Oceánica,,,,,,,,,,0,,0,0.2,0,0.1,,0.2,,0,0,,0,,0,,0.2,,0,0.2,0,0,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
Grao Aberto en Enxeñería Industrial,,,,,,,,,,0,,0,0.2,0,0.1,,0.2,,0,0,,0,,0,,0.2,,0,0.2,0,0,,0,0,,0.2,,0,,,0,,0,0,,0,,0,0,,0
